,name,lat,lon,criteria,coordinates,coord_eucl,id,kreis,circle
0,Coop Bahnhofbrücke,47.3767316,8.542160800000001,competitor,"(8.542160800000001, 47.3767316)","(950908.9905302625, 6003784.521876661)",c9e3085b-4b64-4342-95d8-fe72976547df,kreis_1,"[(6003784.523076661, 950908.9905302625), (6003784.523070883, 950908.9904126419), (6003784.523053603, 950908.990296154), (6003784.523024989, 950908.9901819208), (6003784.522985317, 950908.9900710423), (6003784.522934967, 950908.9899645863), (6003784.522874424, 950908.9898635782), (6003784.522804273, 950908.9897689905), (6003784.522725189, 950908.9896817344), (6003784.5226379335, 950908.9896026499), (6003784.522543346, 950908.9895324989), (6003784.522442337, 950908.989471957), (6003784.522335881, 950908.989421607), (6003784.522225003, 950908.989381934), (6003784.5221107695, 950908.9893533201), (6003784.521994282, 950908.9893360408), (6003784.521876661, 950908.9893302624), (6003784.521759041, 950908.9893360408), (6003784.521642553, 950908.9893533201), (6003784.521528319, 950908.989381934), (6003784.521417441, 950908.989421607), (6003784.521310985, 950908.989471957), (6003784.521209977, 950908.9895324989), (6003784.521115389, 950908.9896026499), (6003784.521028133, 950908.9896817344), (6003784.520949049, 950908.9897689905), (6003784.520878898, 950908.9898635782), (6003784.5208183555, 950908.9899645863), (6003784.520768005, 950908.9900710423), (6003784.520728333, 950908.9901819208), (6003784.520699719, 950908.990296154), (6003784.520682439, 950908.9904126419), (6003784.520676661, 950908.9905302625), (6003784.520682439, 950908.990647883), (6003784.520699719, 950908.9907643709), (6003784.520728333, 950908.9908786041), (6003784.520768005, 950908.9909894826), (6003784.5208183555, 950908.9910959386), (6003784.520878898, 950908.9911969467), (6003784.520949049, 950908.9912915344), (6003784.521028133, 950908.9913787906), (6003784.521115389, 950908.991457875), (6003784.521209977, 950908.9915280261), (6003784.521310985, 950908.991588568), (6003784.521417441, 950908.9916389179), (6003784.521528319, 950908.9916785909), (6003784.521642553, 950908.9917072048), (6003784.521759041, 950908.9917244841), (6003784.521876661, 950908.9917302625), (6003784.521994282, 950908.9917244841), (6003784.5221107695, 950908.9917072048), (6003784.522225003, 950908.9916785909), (6003784.522335881, 950908.9916389179), (6003784.522442337, 950908.991588568), (6003784.522543346, 950908.9915280261), (6003784.5226379335, 950908.991457875), (6003784.522725189, 950908.9913787906), (6003784.522804273, 950908.9912915344), (6003784.522874424, 950908.9911969467), (6003784.522934967, 950908.9910959386), (6003784.522985317, 950908.9909894826), (6003784.523024989, 950908.9908786041), (6003784.523053603, 950908.9907643709), (6003784.523070883, 950908.990647883), (6003784.523076661, 950908.9905302625)]"
1,Migros Wengihof,47.37502,8.522895,Migros,"(8.522895, 47.37502)","(948764.3314845373, 6003503.159761649)",b1bcc5b9-ddf1-450d-a39c-820e88698ead,kreis_4,"[(6003503.160961648, 948764.3314845373), (6003503.1609558705, 948764.3313669168), (6003503.160938591, 948764.3312504289), (6003503.160909977, 948764.3311361957), (6003503.160870304, 948764.3310253172), (6003503.160819954, 948764.3309188612), (6003503.160759412, 948764.3308178531), (6003503.160689261, 948764.3307232654), (6003503.160610177, 948764.3306360092), (6003503.160522921, 948764.3305569248), (6003503.160428333, 948764.3304867737), (6003503.160327325, 948764.3304262318), (6003503.160220869, 948764.3303758819), (6003503.16010999, 948764.3303362089), (6003503.159995757, 948764.330307595), (6003503.159879269, 948764.3302903157), (6003503.159761649, 948764.3302845373), (6003503.159644028, 948764.3302903157), (6003503.15952754, 948764.330307595), (6003503.159413307, 948764.3303362089), (6003503.159302428, 948764.3303758819), (6003503.159195973, 948764.3304262318), (6003503.159094964, 948764.3304867737), (6003503.159000376, 948764.3305569248), (6003503.158913121, 948764.3306360092), (6003503.158834036, 948764.3307232654), (6003503.1587638855, 948764.3308178531), (6003503.158703343, 948764.3309188612), (6003503.158652993, 948764.3310253172), (6003503.15861332, 948764.3311361957), (6003503.1585847065, 948764.3312504289), (6003503.158567427, 948764.3313669168), (6003503.158561649, 948764.3314845373), (6003503.158567427, 948764.3316021579), (6003503.1585847065, 948764.3317186458), (6003503.15861332, 948764.331832879), (6003503.158652993, 948764.3319437575), (6003503.158703343, 948764.3320502135), (6003503.1587638855, 948764.3321512216), (6003503.158834036, 948764.3322458093), (6003503.158913121, 948764.3323330655), (6003503.159000376, 948764.3324121499), (6003503.159094964, 948764.3324823009), (6003503.159195973, 948764.3325428428), (6003503.159302428, 948764.3325931928), (6003503.159413307, 948764.3326328658), (6003503.15952754, 948764.3326614797), (6003503.159644028, 948764.332678759), (6003503.159761649, 948764.3326845374), (6003503.159879269, 948764.332678759), (6003503.159995757, 948764.3326614797), (6003503.16010999, 948764.3326328658), (6003503.160220869, 948764.3325931928), (6003503.160327325, 948764.3325428428), (6003503.160428333, 948764.3324823009), (6003503.160522921, 948764.3324121499), (6003503.160610177, 948764.3323330655), (6003503.160689261, 948764.3322458093), (6003503.160759412, 948764.3321512216), (6003503.160819954, 948764.3320502135), (6003503.160870304, 948764.3319437575), (6003503.160909977, 948764.331832879), (6003503.160938591, 948764.3317186458), (6003503.1609558705, 948764.3316021579), (6003503.160961648, 948764.3314845373)]"
2,Aldi,47.3409666,8.530600699999999,competitor,"(8.530600699999999, 47.3409666)","(949622.1260847431, 5997907.173911596)",df27b01b-57b6-48a9-9594-328eb8f6f01b,kreis_2,"[(5997907.175111596, 949622.1260847431), (5997907.175105818, 949622.1259671225), (5997907.175088538, 949622.1258506346), (5997907.175059924, 949622.1257364014), (5997907.175020251, 949622.1256255229), (5997907.174969901, 949622.1255190669), (5997907.174909359, 949622.1254180588), (5997907.174839208, 949622.1253234711), (5997907.174760124, 949622.125236215), (5997907.174672868, 949622.1251571305), (5997907.17457828, 949622.1250869795), (5997907.174477272, 949622.1250264376), (5997907.174370816, 949622.1249760876), (5997907.174259937, 949622.1249364146), (5997907.174145704, 949622.1249078007), (5997907.174029216, 949622.1248905214), (5997907.173911596, 949622.124884743), (5997907.173793975, 949622.1248905214), (5997907.173677487, 949622.1249078007), (5997907.173563254, 949622.1249364146), (5997907.173452375, 949622.1249760876), (5997907.17334592, 949622.1250264376), (5997907.173244911, 949622.1250869795), (5997907.173150323, 949622.1251571305), (5997907.173063068, 949622.125236215), (5997907.1729839835, 949622.1253234711), (5997907.172913833, 949622.1254180588), (5997907.17285329, 949622.1255190669), (5997907.17280294, 949622.1256255229), (5997907.1727632675, 949622.1257364014), (5997907.172734654, 949622.1258506346), (5997907.172717374, 949622.1259671225), (5997907.172711596, 949622.1260847431), (5997907.172717374, 949622.1262023636), (5997907.172734654, 949622.1263188515), (5997907.1727632675, 949622.1264330847), (5997907.17280294, 949622.1265439632), (5997907.17285329, 949622.1266504192), (5997907.172913833, 949622.1267514273), (5997907.1729839835, 949622.126846015), (5997907.173063068, 949622.1269332712), (5997907.173150323, 949622.1270123556), (5997907.173244911, 949622.1270825067), (5997907.17334592, 949622.1271430486), (5997907.173452375, 949622.1271933985), (5997907.173563254, 949622.1272330715), (5997907.173677487, 949622.1272616854), (5997907.173793975, 949622.1272789647), (5997907.173911596, 949622.1272847431), (5997907.174029216, 949622.1272789647), (5997907.174145704, 949622.1272616854), (5997907.174259937, 949622.1272330715), (5997907.174370816, 949622.1271933985), (5997907.174477272, 949622.1271430486), (5997907.17457828, 949622.1270825067), (5997907.174672868, 949622.1270123556), (5997907.174760124, 949622.1269332712), (5997907.174839208, 949622.126846015), (5997907.174909359, 949622.1267514273), (5997907.174969901, 949622.1266504192), (5997907.175020251, 949622.1265439632), (5997907.175059924, 949622.1264330847), (5997907.175088538, 949622.1263188515), (5997907.175105818, 949622.1262023636), (5997907.175111596, 949622.1260847431)]"
3,Coop Wollishofen,47.340069799999995,8.530546099999999,competitor,"(8.530546099999999, 47.340069799999995)","(949616.0480405457, 5997759.851807205)",4d658d5f-d06f-481d-871c-b2fe1ae3cf15,kreis_2,"[(5997759.853007205, 949616.0480405457), (5997759.853001427, 949616.0479229251), (5997759.852984147, 949616.0478064372), (5997759.852955533, 949616.047692204), (5997759.852915861, 949616.0475813255), (5997759.852865511, 949616.0474748695), (5997759.852804968, 949616.0473738614), (5997759.852734817, 949616.0472792737), (5997759.852655733, 949616.0471920175), (5997759.852568477, 949616.0471129331), (5997759.8524738895, 949616.0470427821), (5997759.852372881, 949616.0469822402), (5997759.852266425, 949616.0469318902), (5997759.852155547, 949616.0468922172), (5997759.852041313, 949616.0468636033), (5997759.851924825, 949616.046846324), (5997759.851807205, 949616.0468405456), (5997759.851689585, 949616.046846324), (5997759.851573097, 949616.0468636033), (5997759.851458863, 949616.0468922172), (5997759.851347985, 949616.0469318902), (5997759.851241529, 949616.0469822402), (5997759.851140521, 949616.0470427821), (5997759.851045933, 949616.0471129331), (5997759.850958677, 949616.0471920175), (5997759.850879593, 949616.0472792737), (5997759.850809442, 949616.0473738614), (5997759.850748899, 949616.0474748695), (5997759.850698549, 949616.0475813255), (5997759.850658877, 949616.047692204), (5997759.850630263, 949616.0478064372), (5997759.850612983, 949616.0479229251), (5997759.850607205, 949616.0480405457), (5997759.850612983, 949616.0481581662), (5997759.850630263, 949616.0482746541), (5997759.850658877, 949616.0483888873), (5997759.850698549, 949616.0484997658), (5997759.850748899, 949616.0486062218), (5997759.850809442, 949616.0487072299), (5997759.850879593, 949616.0488018176), (5997759.850958677, 949616.0488890738), (5997759.851045933, 949616.0489681582), (5997759.851140521, 949616.0490383093), (5997759.851241529, 949616.0490988512), (5997759.851347985, 949616.0491492011), (5997759.851458863, 949616.0491888741), (5997759.851573097, 949616.049217488), (5997759.851689585, 949616.0492347673), (5997759.851807205, 949616.0492405457), (5997759.851924825, 949616.0492347673), (5997759.852041313, 949616.049217488), (5997759.852155547, 949616.0491888741), (5997759.852266425, 949616.0491492011), (5997759.852372881, 949616.0490988512), (5997759.8524738895, 949616.0490383093), (5997759.852568477, 949616.0489681582), (5997759.852655733, 949616.0488890738), (5997759.852734817, 949616.0488018176), (5997759.852804968, 949616.0487072299), (5997759.852865511, 949616.0486062218), (5997759.852915861, 949616.0484997658), (5997759.852955533, 949616.0483888873), (5997759.852984147, 949616.0482746541), (5997759.853001427, 949616.0481581662), (5997759.853007205, 949616.0480405457)]"
4,Migros Wollishofen,47.344748700000004,8.5299814,Migros,"(8.5299814, 47.344748700000004)","(949553.1859240949, 5998528.507121279)",65ecce9f-50c7-49af-ba4c-8d5ea016263d,kreis_2,"[(5998528.508321279, 949553.1859240949), (5998528.508315501, 949553.1858064743), (5998528.508298221, 949553.1856899865), (5998528.508269607, 949553.1855757532), (5998528.508229935, 949553.1854648747), (5998528.5081795845, 949553.1853584187), (5998528.508119042, 949553.1852574106), (5998528.508048891, 949553.185162823), (5998528.507969807, 949553.1850755668), (5998528.507882551, 949553.1849964823), (5998528.507787963, 949553.1849263313), (5998528.507686955, 949553.1848657894), (5998528.507580499, 949553.1848154394), (5998528.507469621, 949553.1847757665), (5998528.507355387, 949553.1847471525), (5998528.507238899, 949553.1847298732), (5998528.507121279, 949553.1847240948), (5998528.507003658, 949553.1847298732), (5998528.5068871705, 949553.1847471525), (5998528.506772937, 949553.1847757665), (5998528.506662059, 949553.1848154394), (5998528.506555603, 949553.1848657894), (5998528.506454594, 949553.1849263313), (5998528.5063600065, 949553.1849964823), (5998528.506272751, 949553.1850755668), (5998528.506193667, 949553.185162823), (5998528.506123516, 949553.1852574106), (5998528.506062973, 949553.1853584187), (5998528.506012623, 949553.1854648747), (5998528.505972951, 949553.1855757532), (5998528.505944337, 949553.1856899865), (5998528.505927057, 949553.1858064743), (5998528.505921279, 949553.1859240949), (5998528.505927057, 949553.1860417154), (5998528.505944337, 949553.1861582033), (5998528.505972951, 949553.1862724365), (5998528.506012623, 949553.186383315), (5998528.506062973, 949553.186489771), (5998528.506123516, 949553.1865907791), (5998528.506193667, 949553.1866853668), (5998528.506272751, 949553.186772623), (5998528.5063600065, 949553.1868517074), (5998528.506454594, 949553.1869218585), (5998528.506555603, 949553.1869824004), (5998528.506662059, 949553.1870327503), (5998528.506772937, 949553.1870724233), (5998528.5068871705, 949553.1871010372), (5998528.507003658, 949553.1871183165), (5998528.507121279, 949553.1871240949), (5998528.507238899, 949553.1871183165), (5998528.507355387, 949553.1871010372), (5998528.507469621, 949553.1870724233), (5998528.507580499, 949553.1870327503), (5998528.507686955, 949553.1869824004), (5998528.507787963, 949553.1869218585), (5998528.507882551, 949553.1868517074), (5998528.507969807, 949553.186772623), (5998528.508048891, 949553.1866853668), (5998528.508119042, 949553.1865907791), (5998528.5081795845, 949553.186489771), (5998528.508229935, 949553.186383315), (5998528.508269607, 949553.1862724365), (5998528.508298221, 949553.1861582033), (5998528.508315501, 949553.1860417154), (5998528.508321279, 949553.1859240949)]"
5,Migros City,47.3752549,8.536107300000001,Migros,"(8.536107300000001, 47.3752549)","(950235.1179927454, 6003541.773360262)",47de3995-ad12-49f1-822e-a3c3ee722fcd,kreis_1,"[(6003541.7745602615, 950235.1179927454), (6003541.774554484, 950235.1178751248), (6003541.774537204, 950235.117758637), (6003541.77450859, 950235.1176444037), (6003541.774468917, 950235.1175335252), (6003541.774418567, 950235.1174270692), (6003541.774358025, 950235.1173260611), (6003541.774287874, 950235.1172314734), (6003541.77420879, 950235.1171442172), (6003541.774121534, 950235.1170651328), (6003541.774026946, 950235.1169949818), (6003541.773925938, 950235.1169344399), (6003541.773819482, 950235.1168840899), (6003541.773708603, 950235.116844417), (6003541.77359437, 950235.116815803), (6003541.773477882, 950235.1167985237), (6003541.773360262, 950235.1167927453), (6003541.773242641, 950235.1167985237), (6003541.773126153, 950235.116815803), (6003541.77301192, 950235.116844417), (6003541.772901041, 950235.1168840899), (6003541.772794586, 950235.1169344399), (6003541.772693577, 950235.1169949818), (6003541.772598989, 950235.1170651328), (6003541.772511734, 950235.1171442172), (6003541.7724326495, 950235.1172314734), (6003541.772362499, 950235.1173260611), (6003541.772301956, 950235.1174270692), (6003541.772251606, 950235.1175335252), (6003541.7722119335, 950235.1176444037), (6003541.77218332, 950235.117758637), (6003541.77216604, 950235.1178751248), (6003541.772160262, 950235.1179927454), (6003541.77216604, 950235.1181103659), (6003541.77218332, 950235.1182268538), (6003541.7722119335, 950235.118341087), (6003541.772251606, 950235.1184519655), (6003541.772301956, 950235.1185584215), (6003541.772362499, 950235.1186594296), (6003541.7724326495, 950235.1187540173), (6003541.772511734, 950235.1188412735), (6003541.772598989, 950235.1189203579), (6003541.772693577, 950235.118990509), (6003541.772794586, 950235.1190510509), (6003541.772901041, 950235.1191014008), (6003541.77301192, 950235.1191410738), (6003541.773126153, 950235.1191696877), (6003541.773242641, 950235.119186967), (6003541.773360262, 950235.1191927454), (6003541.773477882, 950235.119186967), (6003541.77359437, 950235.1191696877), (6003541.773708603, 950235.1191410738), (6003541.773819482, 950235.1191014008), (6003541.773925938, 950235.1190510509), (6003541.774026946, 950235.118990509), (6003541.774121534, 950235.1189203579), (6003541.77420879, 950235.1188412735), (6003541.774287874, 950235.1187540173), (6003541.774358025, 950235.1186594296), (6003541.774418567, 950235.1185584215), (6003541.774468917, 950235.1184519655), (6003541.77450859, 950235.118341087), (6003541.774537204, 950235.1182268538), (6003541.774554484, 950235.1181103659), (6003541.7745602615, 950235.1179927454)]"
6,Coop Hönggermarkt,47.40252,8.498733300000001,competitor,"(8.498733300000001, 47.40252)","(946074.6633438377, 6008024.865245005)",19a7f85e-3bad-4700-8dfb-55e674df75d2,kreis_10,"[(6008024.866445005, 946074.6633438377), (6008024.866439227, 946074.6632262171), (6008024.866421947, 946074.6631097293), (6008024.866393333, 946074.6629954961), (6008024.866353661, 946074.6628846176), (6008024.866303311, 946074.6627781616), (6008024.866242768, 946074.6626771535), (6008024.866172617, 946074.6625825658), (6008024.866093533, 946074.6624953096), (6008024.8660062775, 946074.6624162252), (6008024.86591169, 946074.6623460741), (6008024.865810681, 946074.6622855322), (6008024.865704225, 946074.6622351822), (6008024.865593347, 946074.6621955093), (6008024.8654791135, 946074.6621668953), (6008024.865362626, 946074.662149616), (6008024.865245005, 946074.6621438377), (6008024.865127385, 946074.662149616), (6008024.865010897, 946074.6621668953), (6008024.864896663, 946074.6621955093), (6008024.864785785, 946074.6622351822), (6008024.864679329, 946074.6622855322), (6008024.864578321, 946074.6623460741), (6008024.864483733, 946074.6624162252), (6008024.864396477, 946074.6624953096), (6008024.864317393, 946074.6625825658), (6008024.864247242, 946074.6626771535), (6008024.8641866995, 946074.6627781616), (6008024.864136349, 946074.6628846176), (6008024.864096677, 946074.6629954961), (6008024.864068063, 946074.6631097293), (6008024.864050783, 946074.6632262171), (6008024.864045005, 946074.6633438377), (6008024.864050783, 946074.6634614583), (6008024.864068063, 946074.6635779461), (6008024.864096677, 946074.6636921794), (6008024.864136349, 946074.6638030579), (6008024.8641866995, 946074.6639095139), (6008024.864247242, 946074.664010522), (6008024.864317393, 946074.6641051096), (6008024.864396477, 946074.6641923658), (6008024.864483733, 946074.6642714503), (6008024.864578321, 946074.6643416013), (6008024.864679329, 946074.6644021432), (6008024.864785785, 946074.6644524932), (6008024.864896663, 946074.6644921661), (6008024.865010897, 946074.6645207801), (6008024.865127385, 946074.6645380594), (6008024.865245005, 946074.6645438378), (6008024.865362626, 946074.6645380594), (6008024.8654791135, 946074.6645207801), (6008024.865593347, 946074.6644921661), (6008024.865704225, 946074.6644524932), (6008024.865810681, 946074.6644021432), (6008024.86591169, 946074.6643416013), (6008024.8660062775, 946074.6642714503), (6008024.866093533, 946074.6641923658), (6008024.866172617, 946074.6641051096), (6008024.866242768, 946074.664010522), (6008024.866303311, 946074.6639095139), (6008024.866353661, 946074.6638030579), (6008024.866393333, 946074.6636921794), (6008024.866421947, 946074.6635779461), (6008024.866439227, 946074.6634614583), (6008024.866445005, 946074.6633438377)]"
7,Denner,47.4032811,8.498072500000001,Migros,"(8.498072500000001, 47.4032811)","(946001.1034243215, 6008150.043169788)",3de95483-4daf-4b6e-b947-2da75ced363d,kreis_10,"[(6008150.044369788, 946001.1034243215), (6008150.04436401, 946001.1033067009), (6008150.04434673, 946001.1031902131), (6008150.044318116, 946001.1030759799), (6008150.044278444, 946001.1029651014), (6008150.044228094, 946001.1028586454), (6008150.044167551, 946001.1027576373), (6008150.0440974, 946001.1026630496), (6008150.044018316, 946001.1025757934), (6008150.0439310605, 946001.102496709), (6008150.043836473, 946001.1024265579), (6008150.043735464, 946001.102366016), (6008150.043629008, 946001.102315666), (6008150.04351813, 946001.1022759931), (6008150.0434038965, 946001.1022473791), (6008150.043287409, 946001.1022300998), (6008150.043169788, 946001.1022243215), (6008150.043052168, 946001.1022300998), (6008150.04293568, 946001.1022473791), (6008150.042821446, 946001.1022759931), (6008150.042710568, 946001.102315666), (6008150.042604112, 946001.102366016), (6008150.042503104, 946001.1024265579), (6008150.042408516, 946001.102496709), (6008150.04232126, 946001.1025757934), (6008150.042242176, 946001.1026630496), (6008150.042172025, 946001.1027576373), (6008150.0421114825, 946001.1028586454), (6008150.042061132, 946001.1029651014), (6008150.04202146, 946001.1030759799), (6008150.041992846, 946001.1031902131), (6008150.041975566, 946001.1033067009), (6008150.041969788, 946001.1034243215), (6008150.041975566, 946001.1035419421), (6008150.041992846, 946001.1036584299), (6008150.04202146, 946001.1037726632), (6008150.042061132, 946001.1038835417), (6008150.0421114825, 946001.1039899976), (6008150.042172025, 946001.1040910057), (6008150.042242176, 946001.1041855934), (6008150.04232126, 946001.1042728496), (6008150.042408516, 946001.104351934), (6008150.042503104, 946001.1044220851), (6008150.042604112, 946001.104482627), (6008150.042710568, 946001.104532977), (6008150.042821446, 946001.1045726499), (6008150.04293568, 946001.1046012639), (6008150.043052168, 946001.1046185432), (6008150.043169788, 946001.1046243216), (6008150.043287409, 946001.1046185432), (6008150.0434038965, 946001.1046012639), (6008150.04351813, 946001.1045726499), (6008150.043629008, 946001.104532977), (6008150.043735464, 946001.104482627), (6008150.043836473, 946001.1044220851), (6008150.0439310605, 946001.104351934), (6008150.044018316, 946001.1042728496), (6008150.0440974, 946001.1041855934), (6008150.044167551, 946001.1040910057), (6008150.044228094, 946001.1039899976), (6008150.044278444, 946001.1038835417), (6008150.044318116, 946001.1037726632), (6008150.04434673, 946001.1036584299), (6008150.04436401, 946001.1035419421), (6008150.044369788, 946001.1034243215)]"
8,Migros Bahnhof Enge,47.3640724,8.5309446,Migros,"(8.5309446, 47.3640724)","(949660.408857627, 6001703.749719441)",9a3c8f1a-ee39-493c-9632-30229b3ba644,kreis_2,"[(6001703.750919441, 949660.408857627), (6001703.750913663, 949660.4087400064), (6001703.750896383, 949660.4086235185), (6001703.750867769, 949660.4085092853), (6001703.750828097, 949660.4083984068), (6001703.750777747, 949660.4082919508), (6001703.750717204, 949660.4081909427), (6001703.750647053, 949660.408096355), (6001703.750567969, 949660.4080090988), (6001703.750480713, 949660.4079300144), (6001703.750386125, 949660.4078598634), (6001703.750285117, 949660.4077993215), (6001703.750178661, 949660.4077489715), (6001703.750067783, 949660.4077092985), (6001703.749953549, 949660.4076806846), (6001703.749837061, 949660.4076634053), (6001703.749719441, 949660.4076576269), (6001703.7496018205, 949660.4076634053), (6001703.7494853325, 949660.4076806846), (6001703.749371099, 949660.4077092985), (6001703.749260221, 949660.4077489715), (6001703.749153765, 949660.4077993215), (6001703.7490527565, 949660.4078598634), (6001703.748958169, 949660.4079300144), (6001703.748870913, 949660.4080090988), (6001703.748791829, 949660.408096355), (6001703.748721678, 949660.4081909427), (6001703.748661135, 949660.4082919508), (6001703.748610785, 949660.4083984068), (6001703.748571113, 949660.4085092853), (6001703.748542499, 949660.4086235185), (6001703.748525219, 949660.4087400064), (6001703.748519441, 949660.408857627), (6001703.748525219, 949660.4089752475), (6001703.748542499, 949660.4090917354), (6001703.748571113, 949660.4092059686), (6001703.748610785, 949660.4093168471), (6001703.748661135, 949660.4094233031), (6001703.748721678, 949660.4095243112), (6001703.748791829, 949660.4096188989), (6001703.748870913, 949660.4097061551), (6001703.748958169, 949660.4097852395), (6001703.7490527565, 949660.4098553905), (6001703.749153765, 949660.4099159325), (6001703.749260221, 949660.4099662824), (6001703.749371099, 949660.4100059554), (6001703.7494853325, 949660.4100345693), (6001703.7496018205, 949660.4100518486), (6001703.749719441, 949660.410057627), (6001703.749837061, 949660.4100518486), (6001703.749953549, 949660.4100345693), (6001703.750067783, 949660.4100059554), (6001703.750178661, 949660.4099662824), (6001703.750285117, 949660.4099159325), (6001703.750386125, 949660.4098553905), (6001703.750480713, 949660.4097852395), (6001703.750567969, 949660.4097061551), (6001703.750647053, 949660.4096188989), (6001703.750717204, 949660.4095243112), (6001703.750777747, 949660.4094233031), (6001703.750828097, 949660.4093168471), (6001703.750867769, 949660.4092059686), (6001703.750896383, 949660.4090917354), (6001703.750913663, 949660.4089752475), (6001703.750919441, 949660.408857627)]"
9,Coop Fluntern,47.376417,8.559594500000001,competitor,"(8.559594500000001, 47.376417)","(952849.7011369052, 6003732.805532931)",63defc61-fd8c-4e76-b1fa-ce7a2d697fc9,kreis_7,"[(6003732.806732931, 952849.7011369052), (6003732.806727153, 952849.7010192847), (6003732.8067098735, 952849.7009027968), (6003732.80668126, 952849.7007885636), (6003732.806641587, 952849.7006776851), (6003732.806591237, 952849.7005712291), (6003732.8065306945, 952849.700470221), (6003732.806460544, 952849.7003756333), (6003732.806381459, 952849.7002883771), (6003732.806294204, 952849.7002092927), (6003732.806199616, 952849.7001391416), (6003732.806098607, 952849.7000785997), (6003732.805992152, 952849.7000282498), (6003732.805881273, 952849.6999885768), (6003732.80576704, 952849.6999599629), (6003732.805650552, 952849.6999426836), (6003732.805532931, 952849.6999369052), (6003732.805415311, 952849.6999426836), (6003732.805298823, 952849.6999599629), (6003732.80518459, 952849.6999885768), (6003732.805073711, 952849.7000282498), (6003732.804967255, 952849.7000785997), (6003732.804866247, 952849.7001391416), (6003732.804771659, 952849.7002092927), (6003732.804684403, 952849.7002883771), (6003732.804605319, 952849.7003756333), (6003732.804535168, 952849.700470221), (6003732.804474626, 952849.7005712291), (6003732.804424276, 952849.7006776851), (6003732.804384603, 952849.7007885636), (6003732.804355989, 952849.7009027968), (6003732.804338709, 952849.7010192847), (6003732.8043329315, 952849.7011369052), (6003732.804338709, 952849.7012545258), (6003732.804355989, 952849.7013710137), (6003732.804384603, 952849.7014852469), (6003732.804424276, 952849.7015961254), (6003732.804474626, 952849.7017025814), (6003732.804535168, 952849.7018035895), (6003732.804605319, 952849.7018981772), (6003732.804684403, 952849.7019854333), (6003732.804771659, 952849.7020645178), (6003732.804866247, 952849.7021346688), (6003732.804967255, 952849.7021952107), (6003732.805073711, 952849.7022455607), (6003732.80518459, 952849.7022852337), (6003732.805298823, 952849.7023138476), (6003732.805415311, 952849.7023311269), (6003732.805532931, 952849.7023369053), (6003732.805650552, 952849.7023311269), (6003732.80576704, 952849.7023138476), (6003732.805881273, 952849.7022852337), (6003732.805992152, 952849.7022455607), (6003732.806098607, 952849.7021952107), (6003732.806199616, 952849.7021346688), (6003732.806294204, 952849.7020645178), (6003732.806381459, 952849.7019854333), (6003732.806460544, 952849.7018981772), (6003732.8065306945, 952849.7018035895), (6003732.806591237, 952849.7017025814), (6003732.806641587, 952849.7015961254), (6003732.80668126, 952849.7014852469), (6003732.8067098735, 952849.7013710137), (6003732.806727153, 952849.7012545258), (6003732.806732931, 952849.7011369052)]"
