,name,lon,lat,city,postcode,street,coordinates,isin_kreis_1,isin_kreis_2,isin_kreis_3,isin_kreis_4,isin_kreis_5,isin_kreis_6,isin_kreis_7,isin_kreis_8,isin_kreis_9,isin_kreis_10,isin_kreis_11,isin_kreis_12,parent
4,Coop Bahnhofbrücke,8.542160800000001,47.3767316,Zürich,8001,Bahnhofbrücke,"(8.5421608 , 47.3767316)",True,False,False,False,False,False,False,False,False,False,False,False,Coop
5,Migros Wengihof,8.522895,47.37502,Zürich,8004,Wengistrasse,"(8.522895 , 47.37502)",False,False,False,True,False,False,False,False,False,False,False,False,Migros
13,Aldi,8.530600699999999,47.3409666,Zürich,8038,Albisstrasse,"(8.5306007 , 47.3409666)",False,True,False,False,False,False,False,False,False,False,False,False,Aldi
14,Coop Wollishofen,8.530546099999999,47.340069799999995,Zürich,8038,Alte Kalchbühlstrasse,"(8.5305461 , 47.3400698)",False,True,False,False,False,False,False,False,False,False,False,False,Coop
16,Migros Wollishofen,8.5299814,47.344748700000004,Zürich,8038,Etzelstrasse,"(8.5299814 , 47.3447487)",False,True,False,False,False,False,False,False,False,False,False,False,Migros
21,Migros City,8.536107300000001,47.3752549,Zürich,8001,Löwenstrasse,"(8.5361073 , 47.3752549)",True,False,False,False,False,False,False,False,False,False,False,False,Migros
38,Coop Hönggermarkt,8.498733300000001,47.40252,Zürich,8049,Regensdorferstrasse,"(8.4987333 , 47.40252)",False,False,False,False,False,False,False,False,False,True,False,False,Coop
39,Denner,8.498072500000001,47.4032811,Zürich,8049,Regensdorferstrasse,"(8.4980725 , 47.4032811)",False,False,False,False,False,False,False,False,False,True,False,False,Migros
57,Migros Bahnhof Enge,8.5309446,47.3640724,Zürich,8002,Tessinerplatz,"(8.5309446 , 47.3640724)",False,True,False,False,False,False,False,False,False,False,False,False,Migros
65,Coop Fluntern,8.559594500000001,47.376417,Zürich,8044,Zürichbergstrasse,"(8.5595945 , 47.376417)",False,False,False,False,False,False,True,False,False,False,False,False,Coop
67,Coop Albisriederplatz,8.5112192,47.3777162,Zürich,8003,Badenerstrasse,"(8.5112192 , 47.3777162)",False,False,True,False,False,False,False,False,False,False,False,False,Coop
73,Aldi Suisse,8.496619500000001,47.3882598,Zürich,8048,Hohlstrasse,"(8.4966195 , 47.3882598)",False,False,False,False,False,False,False,False,True,False,False,False,Aldi
74,Coop Maagplatz,8.516573900000001,47.3858089,Zürich,8005,Maagplatz,"(8.5165739 , 47.3858089)",False,False,False,False,True,False,False,False,False,False,False,False,Coop
75,Migros Limmatplatz,8.5314709,47.3855977,Zürich,8005,Limmatstrasse,"(8.5314709 , 47.3855977)",False,False,False,False,True,False,False,False,False,False,False,False,Migros
76,Coop Manessehof,8.521006,47.3648716,Zürich,8045,Uetlibergstrasse,"(8.521006 , 47.3648716)",False,False,True,False,False,False,False,False,False,False,False,False,Coop
79,Coop City Bellevue Food,8.546173699999999,47.36736,Zürich,8001,Theaterstrasse,"(8.5461737 , 47.36736)",True,False,False,False,False,False,False,False,False,False,False,False,Coop
85,Coop Seefeld,8.5546463,47.357940299999996,Zürich,8008,Seefeldstrasse,"(8.5546463 , 47.3579403)",False,False,False,False,False,False,False,True,False,False,False,False,Coop
86,Migros Höschgasse,8.5540739,47.358366700000005,Zürich,8008,Seefeldstrasse,"(8.5540739 , 47.3583667)",False,False,False,False,False,False,False,True,False,False,False,False,Migros
87,Migros Stadelhofen,8.5480408,47.365678100000004,Zürich,8008,Falkenstrasse,"(8.5480408 , 47.3656781)",True,False,False,False,False,False,False,False,False,False,False,False,Migros
88,Coop Stadelhofen,8.5481842,47.36676920000001,Zürich,8001,Stadelhoferstrasse,"(8.5481842 , 47.3667692)",True,False,False,False,False,False,False,False,False,False,False,False,Coop
