name,lon,lat,city,postcode,street
Coop Bahnhofbrücke,8.5421608,47.3767316,Zürich,8001,Bahnhofbrücke
Migros Wengihof,8.522895,47.37502,Zürich,8004,Wengistrasse
Aldi,8.5306007,47.3409666,Zürich,8038,Albisstrasse
Coop Wollishofen,8.5305461,47.3400698,Zürich,8038,Alte Kalchbühlstrasse
Migros Wollishofen,8.5299814,47.3447487,Zürich,8038,Etzelstrasse
Migros City,8.5361073,47.3752549,Zürich,8001,Löwenstrasse
Coop Hönggermarkt,8.4987333,47.40252,Zürich,8049,Regensdorferstrasse
Denner,8.4980725,47.4032811,Zürich,8049,Regensdorferstrasse
Migros Bahnhof Enge,8.5309446,47.3640724,Zürich,8002,Tessinerplatz
Coop Fluntern,8.5595945,47.376417,Zürich,8044,Zürichbergstrasse
Coop Albisriederplatz,8.5112192,47.3777162,Zürich,8003,Badenerstrasse
Aldi Suisse,8.4966195,47.3882598,Zürich,8048,Hohlstrasse
Coop Maagplatz,8.5165739,47.3858089,Zürich,8005,Maagplatz
Migros Limmatplatz,8.5314709,47.3855977,Zürich,8005,Limmatstrasse
Coop Manessehof,8.521006,47.3648716,Zürich,8045,Uetlibergstrasse
Coop City Bellevue Food,8.5461737,47.36736,Zürich,8001,Theaterstrasse
Coop Seefeld,8.5546463,47.3579403,Zürich,8008,Seefeldstrasse
Migros Höschgasse,8.5540739,47.3583667,Zürich,8008,Seefeldstrasse
Migros Stadelhofen,8.5480408,47.3656781,Zürich,8008,Falkenstrasse
Coop Stadelhofen,8.5481842,47.3667692,Zürich,8001,Stadelhoferstrasse
Migros Kreuzplatz,8.5532614,47.3659445,Zürich,8032,Kreuzstrasse
Coop Kreuzplatz,8.5551291,47.3643,Zürich,8008,Forchstrasse
Migros Burgwies,8.5713693,47.3576104,Zürich,8008,Forchstrasse
Lidl,8.5413011,47.3689582,Zürich,8001,Fraumünsterstrasse
Coop Wehntalerstrasse,8.5056989,47.4188884,Zürich,8046,Wehntalerstrasse
Coop Scheffelstrasse,8.5295435,47.3936485,Zürich,8037,Scheffelstrasse
Coop Wipkingerbrücke,8.5245187,47.3925235,Zürich,8037,Röschibachstrasse
Denner,8.5294871,47.3728259,Zürich,8004,Werdstrasse
Coop Rütihof,8.4794588,47.4137195,Zürich,8049,Rütihofstrasse
Migros Seebach,8.5484516,47.4194826,Zürich,8052,Schaffhauserstrasse
Denner,8.5493361,47.4211612,Zürich,8052,Schaffhauserstrasse
Denner,8.5234086,47.3748981,Zürich,8004,Wengistrasse
Coop Hohlstrasse,8.5264444,47.3770779,Zürich,8004,Hohlstrasse
Coop Universitätstrasse,8.5479921,47.3825043,Zürich,8006,Universitätstrasse
Denner,8.5264773,47.4114322,Zürich,8050,Regensbergstrasse
Migros Albisriederplatz,8.5087992,47.3791999,Zürich,8004,Badenerstrasse
Coop Lochergut,8.5174447,47.3758009,Zürich,8004,Badenerstrasse
Migros Schaffhauserplatz,8.5384284,47.3925525,Zürich,8057,Schaffhauserstrasse
Coop Milchbuck,8.5404707,47.3957248,Zürich,8057,Milchbuckstrasse
Denner,8.5317649,47.3841236,Zürich,8005,Fierzgasse
Migros Schmiede Wiedikon,8.5200924,47.3701218,Zürich,8003,Birmensdorferstrasse
Coop Schwamendingen,8.5718792,47.404782,Zürich,8051,Saatlenstrasse
Spar,8.4992903,47.4231267,Zürich,8046,Wehntalerstrasse
Migros Brunaupark,8.5173007,47.3580599,Zürich,8045,Giesshübelstrasse
Spar,8.5280301,47.4115497,Zürich,8050,Regensbergstrasse
Migros Affoltern,8.5082174,47.4204198,Zürich,8046,Jonas-Furrer-Strasse
Denner,8.5080891,47.4199085,Zürich,8046,In Böden
Migros Oerlikon Neumarkt,8.5430953,47.4105711,Zürich,8050,Hofwiesenstrasse
Coop Josefstrasse,8.527125,47.3847889,Zürich,8005,Röntgenstrasse
Coop Friesenberg,8.5067302,47.3610014,Zürich,8045,Friesenbergplatz
Migros Wipkingen,8.5292465,47.3937084,Zürich,8037,Scheffelstrasse
Denner,8.5326286,47.3988666,Zürich,8057,Hofwiesenstrasse
Denner,8.4839506,47.3759665,Zürich,8047,Bockhornstrasse
Aldi Suisse,8.5391013,47.4137506,Zürich,8050,Binzmühlestrasse
Lidl,8.5149344,47.3617716,Zürich,8045,Grubenstrasse
Coop Hirzenbach,8.5893605,47.4034212,Zürich,8051,Hirzenbachstrasse
Coop Triemli,8.4920191,47.3702753,Zürich,8047,In der Ey
VOI In der Ey,8.4928227,47.3704581,Zürich,8047,Letzigraben
Migros Schwamendingen,8.5730423,47.4037955,Zürich,8051,Winterthurerstrasse
Denner,8.5727162,47.403979,Zürich,8051,Winterthurerstrasse
Coop Stauffacher,8.5305624,47.3732882,Zürich,8004,Badenerstrasse
Coop Albisrieden,8.4870696,47.3758999,Zürich,8047,Albisriederstrasse
Denner,8.5744967,47.404605,Zürich,8051,Winterthurerstrasse
VOI Paradies,8.529589,47.3347288,Zürich,8038,Paradiesstrasse
Coop Eleven,8.5403615,47.4134145,Zürich,8050,Sophie-Taeuber-Strasse
Coop Puls 5,8.5183213,47.3907031,Zürich,8005,Giessereistrasse
Lidl,8.5456832,47.4103223,Zürich,8050,Ohmstrasse
Coop Dorflinde,8.5491079,47.407567,Zürich,8050,Schwamendingenstrasse
Coop Witikon,8.5947159,47.3602011,Zürich,8053,Witikonerstrasse
Migros Toblerplatz,8.5594679,47.3793846,Zürich,8044,Toblerstrasse
Spar,8.5464373,47.4027921,Zürich,8057,Schaffhauserstrasse
Lian Hua Asia Grocery Store,8.547921,47.4040846,Zürich,8057,Schaffhauserstrasse
Coop Mühlackerstrasse,8.4969763,47.4256283,Zürich,8046,Mühlackerstrasse
Aldi Suisse,8.5566562,47.4194368,Zürich,8052,Schärenmoosstrasse
Spar,8.5878428,47.400032,Zürich,8051,Dübendorfstrasse
Denner,8.5307182,47.3444645,Zürich,8038,Etzelstrasse
Coop Römerhof,8.5608053,47.3678218,Zürich,8032,Klosbachstrasse
Migros Witikon-Zentrum,8.5856445,47.3592199,Zürich,8053,Witikonerstrasse
Denner,8.5863177,47.3584946,Zürich,8053,Witikonerstrasse
Lidl,8.5852897,47.4077419,Zürich,8051,Ueberlandstrasse
Coop Hofwiesenstrasse,8.5445995,47.4112061,Zürich,8050,Hofwiesenstrasse
Spar,8.5569289,47.370276,Zürich,8032,Dolderstrasse
Denner,8.5029311,47.3692207,Zürich,8055,Birmensdorferstrasse
Migros Wiedikon M-Märt,8.5084445,47.3702412,Zürich,8055,Birmensdorferstrasse
