name,funicular,lon,lat,network,operator,coordinates
Central Polybahn,yes,8.544172,47.3765183,ZVV,PBZ,"(8.544172 , 47.3765183)"
Polyterrasse ETH,yes,8.5463178,47.3768355,ZVV,PBZ,"(8.5463178 , 47.3768355)"
Rigiblick,yes,8.5533483,47.3873339,ZVV,VBZ,"(8.5533483 , 47.3873339)"
Seilbahn Rigiblick,yes,8.5489065,47.3858732,ZVV,VBZ,"(8.5489065 , 47.3858732)"
Zürich Oerlikon,no,8.5441507,47.4114986,ZVV,SBB,"(8.5441507 , 47.4114986)"
Zürich Hardbrücke,no,8.5173926,47.3851609,ZVV,SBB,"(8.5173926 , 47.3851609)"
Zürich Hauptbahnhof,no,8.5393635,47.3781008,ZVV,SBB,"(8.5393635 , 47.3781008)"
Zürich Stadelhofen,no,8.5483858,47.3665643,ZVV,SBB,"(8.5483858 , 47.3665643)"
Stettbach,no,8.5961074,47.3971522,ZVV,SBB,"(8.5961074 , 47.3971522)"
Zürich Selnau,no,8.5318556,47.3724695,ZVV,SZU,"(8.5318556 , 47.3724695)"
Zürich Binz,no,8.5180854,47.3628473,ZVV,SZU,"(8.5180854 , 47.3628473)"
Zürich Friesenberg,no,8.5075769,47.3648164,ZVV,SZU,"(8.5075769 , 47.3648164)"
Zürich Triemli,no,8.4953498,47.3649741,ZVV,SZU,"(8.4953498 , 47.3649741)"
Zürich Giesshübel,no,8.5220149,47.3626083,ZVV,SZU,"(8.5220149 , 47.3626083)"
Zürich Saalsporthalle,no,8.5218339,47.3580067,ZVV,SZU,"(8.5218339 , 47.3580067)"
Zürich Brunau,no,8.5262233,47.3515976,ZVV,SZU,"(8.5262233 , 47.3515976)"
Zürich Leimbach,no,8.5187267,47.3330734,ZVV,SZU,"(8.5187267 , 47.3330734)"
Zürich Wiedikon,no,8.5230648,47.3717117,ZVV,SBB,"(8.5230648 , 47.3717117)"
Zürich Enge,no,8.5307605,47.3641833,ZVV,SBB,"(8.5307605 , 47.3641833)"
Zürich Tiefenbrunnen,no,8.5613516,47.3501148,ZVV,SBB,"(8.5613516 , 47.3501148)"
Zürich Seebach,no,8.5442186,47.4185872,ZVV,SBB,"(8.5442186 , 47.4185872)"
Zürich Affoltern,no,8.5081772,47.4209007,ZVV,SBB,"(8.5081772 , 47.4209007)"
Zürich Altstetten,no,8.4893332,47.3913167,ZVV,SBB,"(8.4893332 , 47.3913167)"
Zürich Wollishofen,no,8.5335683,47.3476017,ZVV,SBB,"(8.5335683 , 47.3476017)"
Zürich HB SZU,no,8.5394445,47.3773718, ,SZU,"(8.5394445 , 47.3773718)"
Zürich Schweighof,no,8.5035323,47.3649655,ZVV,SZU,"(8.5035323 , 47.3649655)"
Zürich Manegg,no,8.5196214,47.3378542,ZVV,SZU,"(8.5196214 , 47.3378542)"
Zürich Wipkingen,no,8.5293157,47.3930555,ZVV,SBB,"(8.5293157 , 47.3930555)"
